RouteID,Starting Address,Ending Address,RouteWithWaypoints
3,"47.469821, -122.337402","47.464101, -122.287962","wp.1=47.469821, -122.337402&vwp.2=47.470353, -122.332340&vwp.3=47.466765, -122.303540&wp.4=47.464101, -122.287962"
4,"47.464101, -122.287962","47.472673, -122.213126","wp.1=47.464101, -122.287962&vwp.2=47.462928, -122.283739&vwp.3=47.467226, -122.228556&wp.4=47.472673, -122.213126"
5,"47.472673, -122.213126","47.532560, -122.195640","wp.1=47.472673, -122.213126&vwp.2=47.473019, -122.203708&vwp.3=47.496646, -122.193927&wp.4=47.532560, -122.195640"
6,"47.532560, -122.195640","47.615450, -122.188953","wp.1=47.532560, -122.195640&vwp.2=47.583186, -122.175870&vwp.3=47.606524, -122.186755&wp.4=47.615450, -122.188953"
7,"47.615450, -122.188953","47.679203, -122.184579","wp.1=47.615450, -122.188953&vwp.2=47.634621, -122.186910&vwp.3=47.660790, -122.186871&wp.4=47.679203, -122.184579"
8,"47.679203, -122.184579","47.714843, -122.185314","wp.1=47.679203, -122.184579&vwp.2=47.683874, -122.183261&vwp.3=47.704286, -122.179419&wp.4=47.714843, -122.185314"
9,"47.714843, -122.185314","47.768714, -122.189338","wp.1=47.714843, -122.185314&vwp.2=47.726027, -122.189113&vwp.3=47.755407, -122.185520&wp.4=47.768714, -122.189338"
10,"47.768714, -122.189338","47.793881, -122.211495","wp.1=47.768714, -122.189338&vwp.2=47.781036, -122.193414&vwp.3=47.791430, -122.207249&wp.4=47.793881, -122.211495"
11,"47.793881, -122.211495","47.815736, -122.295716","wp.1=47.793881, -122.211495&vwp.2=47.827364, -122.255521&vwp.3=47.832140, -122.262888&wp.4=47.815736, -122.295716"
12,"47.815736, -122.295716","47.793852, -122.214048","wp.1=47.815736, -122.295716&vwp.2=47.823693, -122.273504&vwp.3=47.823357, -122.250880&wp.4=47.793852, -122.214048"
13,"47.793852, -122.214048","47.768714, -122.189338","wp.1=47.793852, -122.214048&vwp.2=47.786706, -122.198997&vwp.3=47.776773, -122.191643&wp.4=47.768714, -122.189338"
14,"47.768714, -122.189338","47.714843, -122.185314","wp.1=47.768714, -122.189338&vwp.2=47.753177, -122.186627&vwp.3=47.724512, -122.190063&wp.4=47.714843, -122.185314"
15,"47.714843, -122.185314","47.679203, -122.184579","wp.1=47.714843, -122.185314&vwp.2=47.702908, -122.179641&vwp.3=47.686038, -122.182916&wp.4=47.679203, -122.184579"
16,"47.679203, -122.184579","47.679203, -122.184580","wp.1=47.679203, -122.184579&vwp.2=47.661273, -122.187184&vwp.3=47.633379, -122.187846&wp.4=47.679203, -122.184580"
17,"47.615450, -122.188953","47.532560, -122.195640","wp.1=47.615450, -122.188953&vwp.2=47.583933, -122.176927&vwp.3=47.561833, -122.187231&wp.4=47.532560, -122.195640"
18,"47.532560, -122.195640","47.472673, -122.213126","wp.1=47.532560, -122.195640&vwp.2=47.512282, -122.198311&vwp.3=47.486093, -122.194684&wp.4=47.472673, -122.213126"
19,"47.472673, -122.213126","47.464101, -122.287962","wp.1=47.472673, -122.213126&vwp.2=47.467480, -122.227457&vwp.3=47.465470, -122.274194&wp.4=47.464101, -122.287962"
20,"47.464101, -122.287962","47.469821, -122.337402","wp.1=47.464101, -122.287962&vwp.2=47.466066, -122.300491&vwp.3=47.469936, -122.325623&wp.4=47.469821, -122.337402"
1,"47.469821, -122.337402","47.815736, -122.295716","wp.1=47.469821,-122.337402&vwp.2=47.470353,-122.332340&vwp.3=47.466765,-122.303540&vwp.4=47.464101,-122.287962&vwp.5=47.467226,-122.228556&vwp.6=47.472673,-122.213126&vwp.7=47.473019,-122.203708&vwp.8=47.496646,-122.193927&vwp.9=47.532560,-122.195640&vwp.10=47.583186,-122.175870&vwp.11=47.606524,-122.186755&wp.12=47.615450,-122.188953&vwp.13=47.634621,-122.186910&vwp.14=47.679203,-122.184579&vwp.15=47.683874,-122.183261&vwp.16=47.704286,-122.179419&vwp.17=47.714843,-122.185314&vwp.18=47.726027,-122.189113&vwp.19=47.755407,-122.185520&vwp.20=47.768714,-122.189338&wp.21=47.781036,-122.193414&vwp.22=47.791430,-122.207249&vwp.23=47.793881,-122.211495&vwp.24=47.832140,-122.262888&wp.25=47.815736,-122.295716"
2,"47.815736, -122.295716","47.469821, -122.337402","wp.1=47.815736,-122.295716&vwp.2=47.823693,-122.273504&&vwp.3=47.793852,-122.214048&vwp.4=47.786706, -122.198997&vwp.5=47.776773,-122.191643&vwp.6=47.768714,-122.189338&vwp.7=47.753177,-122.186627&vwp.8=47.724512, -122.190063&vwp.9=47.714843,-122.185314&vwp.10=47.702908,-122.179641&wp.11=47.686038,-122.182916&vwp.12=47.679203, -122.184579&vwp.13=47.661273,-122.187184&vwp.14=47.679203,-122.184580&vwp.15=47.615450, -122.188953&vwp.16=47.583933,-122.176927&vwp.17=47.561833,-122.187231&vwp.18=47.532560,-122.195640&vwp.19=47.512282, -122.198311&vwp.20=47.472673,-122.213126&wp.21=47.467480,-122.227457&vwp.22=47.465470, -122.274194&vwp.23=47.464101,-122.287962&vwp.24=47.469936,-122.325623&wp.25=47.469821,-122.337402"
23,"47.734880, -122.323849","47.733992, -122.312782","wp.1=47.734880, -122.323849&vwp.2=47.734038, -122.322001&vwp.3=47.733991, -122.314858&wp.4=47.733992, -122.312782"
24,"47.733992, -122.312782","47.733819, -122.302101","wp.1=47.733992, -122.312782&vwp.2=47.733887, -122.308198&vwp.3=47.733844, -122.303949&wp.4=47.733819, -122.302101"
25,"47.733819, -122.302101","47.734655, -122.292271","wp.1=47.733819, -122.302101&vwp.2=47.733803, -122.298955&vwp.3=47.733746, -122.293290&wp.4=47.734655, -122.292271"
26,"47.734655, -122.292271","47.753558, -122.276438","wp.1=47.734655, -122.292271&vwp.2=47.740435, -122.288763&vwp.3=47.750462, -122.282902&wp.4=47.753558, -122.276438"
27,"47.753558, -122.276438","47.758329, -122.249745","wp.1=47.753558, -122.276438&vwp.2=47.755681, -122.272379&vwp.3=47.758436, -122.258110&wp.4=47.758329, -122.249745"
28,"47.758329, -122.249745","47.761718, -122.205209","wp.1=47.758329, -122.249745&vwp.2=47.753557, -122.227068&vwp.3=47.758946, -122.208489&wp.4=47.761718, -122.205209"
29,"47.761718, -122.205209","47.761639, -122.192873","wp.1=47.761718, -122.205209&vwp.2=47.761871, -122.198553&vwp.3=47.763959, -122.193389&wp.4=47.761639, -122.192873"
30,"47.761639, -122.192873","47.768979, -122.182971","wp.1=47.761639, -122.192873&vwp.2=47.765401, -122.191369&vwp.3=47.769053, -122.186066&wp.4=47.768979, -122.182971"
31,"47.768979, -122.182971","47.756646, -122.152385","wp.1=47.768979, -122.182971&vwp.2=47.766196, -122.174224&vwp.3=47.768823, -122.159688&wp.4=47.756646, -122.152385"
32,"47.756646, -122.152385","47.769176, -122.182791","wp.1=47.756646, -122.152385&vwp.2=47.768873, -122.162816&vwp.3=47.765443, -122.172003&wp.4=47.769176, -122.182791"
33,"47.769176, -122.182791","47.761639, -122.192873","wp.1=47.769176, -122.182791&vwp.2=47.769020, -122.188039&vwp.3=47.765191, -122.191768&wp.4=47.761639, -122.192873"
34,"47.761639, -122.192873","47.761854, -122.205474","wp.1=47.761639, -122.192873&vwp.2=47.761968, -122.198277&vwp.3=47.761970, -122.202871&wp.4=47.761854, -122.205474"
35,"47.761854, -122.205474","47.758329, -122.249745","wp.1=47.761854, -122.205474&vwp.2=47.756294, -122.212058&vwp.3=47.755524, -122.232933&wp.4=47.758329, -122.249745"
36,"47.758329, -122.249745","47.753558, -122.276438","wp.1=47.758329, -122.249745&vwp.2=47.758429, -122.261655&vwp.3=47.755914, -122.272083&wp.4=47.753558, -122.276438"
37,"47.753558, -122.276438","47.733862, -122.292515","wp.1=47.753558, -122.276438&vwp.2=47.750151, -122.283320&vwp.3=47.740673, -122.288775&wp.4=47.733862, -122.292515"
38,"47.733862, -122.292515","47.733819, -122.302101","wp.1=47.733862, -122.292515&vwp.2=47.733786, -122.294217&vwp.3=47.733809, -122.298593&wp.4=47.733819, -122.302101"
39,"47.733819, -122.302101","47.733992, -122.312782","wp.1=47.733819, -122.302101&vwp.2=47.733862, -122.304727&vwp.3=47.733920, -122.308923&wp.4=47.733992, -122.312782"
40,"47.733992, -122.312782","47.734412, -122.323309","wp.1=47.733992, -122.312782&vwp.2=47.734005, -122.315982&vwp.3=47.734019, -122.320337&wp.4=47.734412, -122.323309"
21,"47.734880, -122.323849","47.756646, -122.152385","wp.1=47.734880, -122.323849&vwp.2=47.734038, -122.322001&vwp.3=47.733991, -122.314858&vwp.4=47.733992, -122.312782&vwp.5=47.733887, -122.308198&vwp.6=47.733844, -122.303949&vwp.7=47.733819, -122.302101&vwp.8=47.733803, -122.298955&vwp.9=47.733746, -122.293290&wp.10=47.734655, -122.292271&vwp.11=47.740435, -122.288763&vwp.12=47.750462, -122.282902&vwp.13=47.753558, -122.276438&vwp.14=47.755681, -122.272379&vwp.15=47.758436, -122.258110&vwp.16=47.758329, -122.249745&vwp.17=47.753557, -122.227068&vwp.18=47.758946, -122.208489&vwp.19=47.761718, -122.205209&wp.20=47.761871, -122.198553&vwp.21=47.763959, -122.193389&vwp.22=47.761639, -122.192873&vwp.23=47.765401, -122.191369&vwp.24=47.769053, -122.186066&vwp.25=47.768979, -122.182971&vwp.26=47.766196, -122.174224&vwp.27=47.768823, -122.159688&wp.28=47.756646, -122.152385"
22,"47.756646, -122.152385","47.734412, -122.323309","wp.1=47.756646, -122.152385&vwp.2=47.768873, -122.162816&vwp.3=47.765443, -122.172003&vwp.4=47.769176, -122.182791&vwp.5=47.769020, -122.188039&vwp.6=47.765191, -122.191768&vwp.7=47.761639, -122.192873&vwp.8=47.761968, -122.198277&vwp.9=47.761970, -122.202871&wp.10=47.761854, -122.205474&vwp.11=47.756294, -122.212058&vwp.12=47.755524, -122.232933&vwp.13=47.758329, -122.249745&vwp.14=47.758429, -122.261655&vwp.15=47.755914, -122.272083&vwp.16=47.753558, -122.276438&vwp.17=47.750151, -122.283320&vwp.18=47.740673, -122.288775&vwp.19=47.733862, -122.292515&wp.20=47.733786, -122.294217&vwp.21=47.733809, -122.298593&vwp.22=47.733819, -122.302101&vwp.23=47.733862, -122.304727&vwp.24=47.733920, -122.308923&vwp.25=47.733992, -122.312782&vwp.26=47.734005, -122.315982&vwp.27=47.734019, -122.320337&wp.28=47.734412, -122.323309"
